subject,rt,correct,jitter,noise,n200trialerp_c1r,n200trialerplat_c1r,p200trialerp_c1n,p200trialerplat_c1n,goodtrials
1,1,1516,80,0.6,-14.1710292931267,149.9765625,35.7004004069409,182.203125,1
1,1,562,60,0.3,-95.315610393566,221.265625,53.4828035546147,256.421875,1
1,0,1411,60,0.6,-13.6187891478134,213.453125,57.7269971263461,190.015625,1
1,1,838,80,0.6,-39.1744039231163,196.8515625,33.1683907315473,247.6328125,1
1,NaN,NaN,70,0.6,-49.3127095354392,167.5546875,49.9940113289323,241.7734375,0
1,1,942,60,0.3,-63.0484665892069,274.9765625,87.5959556450478,260.328125,1
1,1,624,60,0.3,-64.8985419386459,270.09375,39.6185843462192,201.734375,1
1,1,1082,60,0.45,-43.0420105772434,240.796875,65.0064722464945,155.8359375,1
1,0,1311,80,0.3,-80.7166556970294,264.234375,73.7232573444958,208.5703125,1
1,1,903,80,0.6,-64.6091627155699,197.828125,33.3351338866702,243.7265625,1
1,1,741,60,0.45,-56.7344768901598,201.734375,67.4429781663526,180.25,1
1,1,825,70,0.45,-34.0713773343072,274.9765625,42.8160812938359,224.1953125,1
1,0,749,60,0.3,-53.4621229711323,181.2265625,59.8844919845094,259.3515625,1
1,0,1111,60,0.6,-37.7664987580137,204.6640625,29.4376029680205,215.40625,1
1,1,911,80,0.3,-68.8924896974697,239.8203125,58.9266116085384,190.015625,1
1,0,1755,80,0.6,-51.1197930164374,177.3203125,45.7463506330938,152.90625,1
1,1,591,60,0.3,-66.0279687279094,197.828125,35.3269383470066,187.0859375,1
1,1,766,60,0.3,-30.8256743075445,238.84375,2.71512302794098,201.734375,1
1,1,598,70,0.45,-54.3426384189378,266.1875,24.8647272981306,273.0234375,1
1,1,952,80,0.6,-33.8076253697484,274.9765625,72.7889521014263,256.421875,1
1,1,1119,80,0.3,-78.8805147753187,196.8515625,65.8485330780394,152.90625,1
1,0,707,80,0.3,-30.6638663246192,238.84375,29.8958616339455,251.5390625,1
1,1,685,70,0.3,-152.999452957189,176.34375,61.1695548029836,246.65625,1
1,1,743,60,0.3,-81.5685575305304,258.375,33.1671509021138,233.9609375,1
1,0,805,80,0.45,-41.4546210758342,166.578125,34.5370223991745,185.1328125,1
1,1,648,70,0.6,-24.9565285943094,212.4765625,34.2077394266341,178.296875,1
1,1,557,60,0.45,-67.6722890296855,255.4453125,57.3321283507933,222.2421875,1
1,1,870,60,0.6,-146.401432514422,252.515625,64.8402476428003,149.9765625,1
1,1,781,80,0.3,-69.6224469388503,231.03125,17.6550179227632,200.7578125,1
1,0,861,70,0.45,-73.3393451977724,149.9765625,32.5187935933821,170.484375,1
1,0,776,70,0.6,-70.0768786635297,174.390625,51.0298311244655,169.5078125,1
1,1,577,60,0.3,-88.0625721902783,162.671875,109.530788117324,253.4921875,1
1,1,670,80,0.6,-62.5081889781687,192.9453125,27.3056025798596,244.703125,1
1,1,760,70,0.45,-124.313493614929,175.3671875,71.5597904917314,174.390625,1
1,1,560,80,0.3,-61.405419012307,230.0546875,112.869352779862,226.1484375,1
1,0,734,80,0.6,-71.382701051798,168.53125,72.149992267855,191.96875,1
1,1,788,80,0.3,-90.2500121100643,180.25,17.0002083128503,243.7265625,1
1,1,802,60,0.45,-90.2757820665089,187.0859375,51.2313351140972,239.8203125,1
1,1,672,60,0.3,-104.209505082725,274.9765625,53.3411885920464,177.3203125,1
1,1,774,60,0.3,-73.4740024382399,194.8984375,57.7470772317578,160.71875,1
1,1,650,60,0.45,-68.1271908541651,274.9765625,61.4096867138277,149.9765625,1
1,1,766,60,0.45,-50.4938871419229,248.609375,60.2626603643125,218.3359375,1
1,0,662,60,0.6,-33.4119360431311,168.53125,71.8585542549061,274.9765625,1
1,1,582,60,0.3,-103.080821217212,229.078125,53.8851425058125,201.734375,1
1,0,1167,70,0.6,-87.4164761639112,251.5390625,13.2130695506837,194.8984375,1
1,0,965,60,0.6,-38.4783594174713,166.578125,42.942345122222,238.84375,1
1,1,581,80,0.6,-11.9266014139134,274.9765625,43.7390559602651,228.1015625,1
1,1,694,70,0.45,-19.1637408820449,274.9765625,64.0460089763094,229.078125,1
1,1,664,60,0.6,-29.9388753829494,149.9765625,61.8799446119852,209.546875,1
1,0,652,80,0.3,-111.378616225233,158.765625,104.235654941696,232.0078125,1
1,NaN,NaN,60,0.45,-55.3843256451994,274.9765625,54.8429774928526,241.7734375,0
1,0,1044,70,0.6,-81.7804972199869,213.453125,27.3598528376216,236.890625,1
1,0,624,80,0.6,-108.884703430816,200.7578125,23.5097483773675,216.3828125,1
1,1,650,70,0.45,-16.2769218417138,237.8671875,33.2493891527592,209.546875,1
1,1,1037,80,0.45,-12.4502535518416,208.5703125,3.87392054551045,160.71875,1
1,NaN,NaN,60,0.45,-217.042196202103,266.1875,116.261888858565,160.71875,0
1,0,472,80,0.45,-45.3158157635527,149.9765625,63.7035484759536,197.828125,1
1,1,536,80,0.3,-102.129202307519,197.828125,98.9496570132629,242.75,1
1,1,1265,80,0.45,-116.457421997378,229.078125,46.3923677520877,214.4296875,1
1,1,1039,80,0.6,-55.6412829928186,274.9765625,43.9806855268788,230.0546875,1
1,1,1059,80,0.6,-25.6247394386411,242.75,38.0933650884862,222.2421875,1
1,1,778,60,0.6,-59.4915687000948,150.953125,27.920825562034,224.1953125,1
1,1,715,70,0.3,-64.7317260537211,252.515625,35.0590361782818,267.1640625,1
1,0,502,70,0.45,-49.1804624436546,241.7734375,45.7135153494694,253.4921875,1
1,1,857,70,0.45,-32.2258374806195,209.546875,75.2465608142372,210.5234375,1
1,1,696,70,0.6,-58.9058426304148,188.0625,20.9406256234043,236.890625,1
1,1,399,70,0.45,-63.2848132014373,232.984375,106.289618171479,204.6640625,0
1,1,796,80,0.6,-31.0142736979934,209.546875,98.552345612048,230.0546875,1
1,1,1049,60,0.45,-46.6027053653978,274.9765625,29.1727665738092,274.9765625,1
1,1,674,70,0.6,-75.8376220066013,157.7890625,20.8126178784102,186.109375,1
1,1,822,60,0.45,-65.6321847356022,274.9765625,28.7732977959632,274.9765625,1
1,NaN,NaN,70,0.3,-48.6324091372563,199.78125,63.163120912154,229.078125,0
1,0,712,80,0.6,-44.1316885425409,219.3125,45.1818975948297,253.4921875,1
1,1,689,60,0.45,-43.6041773246372,274.9765625,55.1859230355726,254.46875,1
1,1,614,80,0.3,-91.9354957847499,274.9765625,15.2404344865952,230.0546875,1
1,0,1123,80,0.3,-47.4443832927274,257.3984375,59.0509847363485,272.046875,1
1,1,533,60,0.45,-55.9771715495354,211.5,83.9764829248436,190.015625,1
1,0,830,80,0.6,-23.5539165229561,230.0546875,64.3472663139663,236.890625,1
1,1,598,80,0.6,-72.2849640787146,252.515625,35.0047909165248,261.3046875,1
1,NaN,NaN,80,0.3,-71.5109542498357,226.1484375,163.546700712303,240.796875,0
1,NaN,NaN,70,0.3,-68.0101285203801,239.8203125,42.8152820858441,149.9765625,0
1,1,876,70,0.45,-72.9260634854526,219.3125,90.929426011392,215.40625,1
1,0,906,80,0.6,-51.8741938307799,269.1171875,102.341449868482,218.3359375,1
1,1,725,80,0.6,-54.4044037567811,166.578125,72.0383300441165,274.9765625,1
1,1,1258,80,0.3,-47.0033737309609,224.1953125,41.5587150063999,205.640625,1
1,1,587,80,0.3,-65.1737015126454,229.078125,48.4366423854884,181.2265625,1
1,0,455,70,0.45,-14.4292186990575,274.9765625,85.4680530055651,238.84375,1
1,1,953,60,0.3,-56.8793870478089,227.125,42.469428610409,274.9765625,1
1,1,821,60,0.6,-112.225727220516,198.8046875,82.9499272833548,220.2890625,1
1,1,496,60,0.3,-0,149.9765625,0,149.9765625,0
1,1,621,80,0.3,-66.2929887717768,216.3828125,3.97409555189981,196.8515625,1
1,1,665,60,0.6,-47.7104567504713,242.75,38.6974235697169,237.8671875,1
1,1,773,80,0.45,-52.1430514664989,267.1640625,45.938720019089,249.5859375,1
1,1,627,70,0.6,-54.549144017601,274.9765625,46.371673667298,251.5390625,1
1,1,774,60,0.6,-46.3000909688986,227.125,22.7492943245689,241.7734375,1
1,1,1039,80,0.3,-102.958920411177,201.734375,82.2489417189455,201.734375,1
